"Step","version_2 - GP","version_2 - GP__MIN","version_2 - GP__MAX","version_2 - D","version_2 - D__MIN","version_2 - D__MAX","version_2 - G","version_2 - G__MIN","version_2 - G__MAX"
"0","8.89998483657837","8.89998483657837","8.89998483657837","-0.6078945696353912","-0.6078945696353912","-0.6078945696353912","-7.955752849578857","-7.955752849578857","-7.955752849578857"
"1","-3.333686590194702","-3.333686590194702","-3.333686590194702","-7.016341686248779","-7.016341686248779","-7.016341686248779","-132.77322387695312","-132.77322387695312","-132.77322387695312"
"2","10.384612083435059","10.384612083435059","10.384612083435059","-8.084525346755981","-8.084525346755981","-8.084525346755981","-30.564178466796875","-30.564178466796875","-30.564178466796875"
"5","5.146189451217651","5.146189451217651","5.146189451217651","2.174149513244629","2.174149513244629","2.174149513244629","26.65073013305664","26.65073013305664","26.65073013305664"
"10","-1.7834815979003906","-1.7834815979003906","-1.7834815979003906","-2.5238144397735596","-2.5238144397735596","-2.5238144397735596","-0.6030239462852478","-0.6030239462852478","-0.6030239462852478"
"12","6.4873857498168945","6.4873857498168945","6.4873857498168945","-12.232406616210938","-12.232406616210938","-12.232406616210938","-32.71084213256836","-32.71084213256836","-32.71084213256836"
"14","-14.508488655090332","-14.508488655090332","-14.508488655090332","-15.425326824188232","-15.425326824188232","-15.425326824188232","-26.06443977355957","-26.06443977355957","-26.06443977355957"
"16","-9.249932289123535","-9.249932289123535","-9.249932289123535","-9.60287857055664","-9.60287857055664","-9.60287857055664","-79.97406005859375","-79.97406005859375","-79.97406005859375"
"21","-15.26343059539795","-15.26343059539795","-15.26343059539795","-16.849958419799805","-16.849958419799805","-16.849958419799805","68.57878112792969","68.57878112792969","68.57878112792969"
"22","-0.4893808364868164","-0.4893808364868164","-0.4893808364868164","-9.676864624023438","-9.676864624023438","-9.676864624023438","133.12493896484375","133.12493896484375","133.12493896484375"
"23","-1.9905285835266113","-1.9905285835266113","-1.9905285835266113","-2.898599147796631","-2.898599147796631","-2.898599147796631","-6.01715087890625","-6.01715087890625","-6.01715087890625"
"24","-10.633214712142944","-10.633214712142944","-10.633214712142944","-10.96884822845459","-10.96884822845459","-10.96884822845459","15.230451583862305","15.230451583862305","15.230451583862305"
"27","-5.3128020614385605","-5.3128020614385605","-5.3128020614385605","-5.52069091796875","-5.52069091796875","-5.52069091796875","80.14710998535156","80.14710998535156","80.14710998535156"
"28","-4.919970512390137","-4.919970512390137","-4.919970512390137","-5.204111099243164","-5.204111099243164","-5.204111099243164","123.30120849609375","123.30120849609375","123.30120849609375"
"30","9.160366296768188","9.160366296768188","9.160366296768188","3.2754173278808594","3.2754173278808594","3.2754173278808594","-101.56024932861328","-101.56024932861328","-101.56024932861328"
"31","-6.770105361938477","-6.770105361938477","-6.770105361938477","-7.431463241577148","-7.431463241577148","-7.431463241577148","-81.47367858886719","-81.47367858886719","-81.47367858886719"
"32","-15.639480590820312","-15.639480590820312","-15.639480590820312","-15.954227447509766","-15.954227447509766","-15.954227447509766","-33.673240661621094","-33.673240661621094","-33.673240661621094"
"34","-12.345088958740234","-12.345088958740234","-12.345088958740234","-17.572254180908203","-17.572254180908203","-17.572254180908203","-81.64791870117188","-81.64791870117188","-81.64791870117188"
"36","-5.684904217720032","-5.684904217720032","-5.684904217720032","-6.396329879760742","-6.396329879760742","-6.396329879760742","-103.8658447265625","-103.8658447265625","-103.8658447265625"
"38","-12.062094926834106","-12.062094926834106","-12.062094926834106","-12.265003204345703","-12.265003204345703","-12.265003204345703","80.18550109863281","80.18550109863281","80.18550109863281"
"39","11.220821857452393","11.220821857452393","11.220821857452393","-3.9801955223083496","-3.9801955223083496","-3.9801955223083496","33.96979522705078","33.96979522705078","33.96979522705078"
"43","-11.290587902069092","-11.290587902069092","-11.290587902069092","-11.808698654174805","-11.808698654174805","-11.808698654174805","-96.74346923828125","-96.74346923828125","-96.74346923828125"
"46","3.196108818054199","3.196108818054199","3.196108818054199","-10.15062427520752","-10.15062427520752","-10.15062427520752","30.484268188476562","30.484268188476562","30.484268188476562"
"51","-5.700336933135986","-5.700336933135986","-5.700336933135986","-10.383164405822754","-10.383164405822754","-10.383164405822754","-77.0196762084961","-77.0196762084961","-77.0196762084961"
"54","26.262731075286865","26.262731075286865","26.262731075286865","0.37038421630859375","0.37038421630859375","0.37038421630859375","285.3464050292969","285.3464050292969","285.3464050292969"
"57","-15.07884407043457","-15.07884407043457","-15.07884407043457","-18.11841583251953","-18.11841583251953","-18.11841583251953","80.95393371582031","80.95393371582031","80.95393371582031"
"58","-16.460651397705078","-16.460651397705078","-16.460651397705078","-18.77007484436035","-18.77007484436035","-18.77007484436035","204.8066864013672","204.8066864013672","204.8066864013672"
"61","-8.04977262020111","-8.04977262020111","-8.04977262020111","-8.175603866577148","-8.175603866577148","-8.175603866577148","-33.030704498291016","-33.030704498291016","-33.030704498291016"
"63","-0.45598745346069336","-0.45598745346069336","-0.45598745346069336","-5.401649475097656","-5.401649475097656","-5.401649475097656","120.122314453125","120.122314453125","120.122314453125"
"64","-7.101152420043945","-7.101152420043945","-7.101152420043945","-10.736104965209961","-10.736104965209961","-10.736104965209961","36.11814880371094","36.11814880371094","36.11814880371094"
"65","-8.401752233505249","-8.401752233505249","-8.401752233505249","-10.982158184051514","-10.982158184051514","-10.982158184051514","29.906112670898438","29.906112670898438","29.906112670898438"
"67","-11.526017189025879","-11.526017189025879","-11.526017189025879","-14.772043228149414","-14.772043228149414","-14.772043228149414","57.85322570800781","57.85322570800781","57.85322570800781"
"70","-14.403374195098877","-14.403374195098877","-14.403374195098877","-15.602657318115234","-15.602657318115234","-15.602657318115234","-31.031227111816406","-31.031227111816406","-31.031227111816406"
"72","8.391769170761108","8.391769170761108","8.391769170761108","3.4963455200195312","3.4963455200195312","3.4963455200195312","36.42737579345703","36.42737579345703","36.42737579345703"
"73","-11.143887042999268","-11.143887042999268","-11.143887042999268","-12.032448768615723","-12.032448768615723","-12.032448768615723","23.73727798461914","23.73727798461914","23.73727798461914"
"74","5.958570957183838","5.958570957183838","5.958570957183838","-5.921012878417969","-5.921012878417969","-5.921012878417969","187.34677124023438","187.34677124023438","187.34677124023438"
"75","-0.2609215974807739","-0.2609215974807739","-0.2609215974807739","-0.7390098571777344","-0.7390098571777344","-0.7390098571777344","82.08488464355469","82.08488464355469","82.08488464355469"
"77","7.50789201259613","7.50789201259613","7.50789201259613","-2.7902984619140625","-2.7902984619140625","-2.7902984619140625","-88.28264617919922","-88.28264617919922","-88.28264617919922"
"78","-10.175169944763184","-10.175169944763184","-10.175169944763184","-11.016670227050781","-11.016670227050781","-11.016670227050781","-57.21482849121094","-57.21482849121094","-57.21482849121094"
"79","-7.389116525650024","-7.389116525650024","-7.389116525650024","-8.577404022216797","-8.577404022216797","-8.577404022216797","-117.67889404296875","-117.67889404296875","-117.67889404296875"
"80","-9.16819715499878","-9.16819715499878","-9.16819715499878","-10.087503433227539","-10.087503433227539","-10.087503433227539","-134.3074188232422","-134.3074188232422","-134.3074188232422"
"84","-9.027005672454834","-9.027005672454834","-9.027005672454834","-9.916216850280762","-9.916216850280762","-9.916216850280762","37.065650939941406","37.065650939941406","37.065650939941406"
"85","-12.707860946655273","-12.707860946655273","-12.707860946655273","-15.949268341064453","-15.949268341064453","-15.949268341064453","-8.278587341308594","-8.278587341308594","-8.278587341308594"
"87","-8.576707124710083","-8.576707124710083","-8.576707124710083","-9.63405704498291","-9.63405704498291","-9.63405704498291","-11.200650215148926","-11.200650215148926","-11.200650215148926"
"89","-5.865469455718994","-5.865469455718994","-5.865469455718994","-9.743177890777588","-9.743177890777588","-9.743177890777588","136.62664794921875","136.62664794921875","136.62664794921875"
"91","-0.4236583709716797","-0.4236583709716797","-0.4236583709716797","-5.325920104980469","-5.325920104980469","-5.325920104980469","123.95549011230469","123.95549011230469","123.95549011230469"
"93","-11.187618732452393","-11.187618732452393","-11.187618732452393","-12.511192321777344","-12.511192321777344","-12.511192321777344","148.71791076660156","148.71791076660156","148.71791076660156"
"94","-9.757143020629883","-9.757143020629883","-9.757143020629883","-14.079401016235352","-14.079401016235352","-14.079401016235352","90.66687774658203","90.66687774658203","90.66687774658203"
"96","-9.43274974822998","-9.43274974822998","-9.43274974822998","-11.019993782043457","-11.019993782043457","-11.019993782043457","-24.590900421142578","-24.590900421142578","-24.590900421142578"
"97","-3.2061479091644287","-3.2061479091644287","-3.2061479091644287","-6.621213912963867","-6.621213912963867","-6.621213912963867","61.259822845458984","61.259822845458984","61.259822845458984"
"98","-8.464043617248535","-8.464043617248535","-8.464043617248535","-8.932241916656494","-8.932241916656494","-8.932241916656494","63.686222076416016","63.686222076416016","63.686222076416016"
"100","3.66796875","3.66796875","3.66796875","0.40471744537353516","0.40471744537353516","0.40471744537353516","-24.470623016357422","-24.470623016357422","-24.470623016357422"
"101","-5.79227888584137","-5.79227888584137","-5.79227888584137","-5.929109573364258","-5.929109573364258","-5.929109573364258","-66.62066650390625","-66.62066650390625","-66.62066650390625"
"102","1.5094470977783203","1.5094470977783203","1.5094470977783203","-0.4507293701171875","-0.4507293701171875","-0.4507293701171875","29.575950622558594","29.575950622558594","29.575950622558594"
"104","1.6847548484802246","1.6847548484802246","1.6847548484802246","-0.24836158752441406","-0.24836158752441406","-0.24836158752441406","-45.608280181884766","-45.608280181884766","-45.608280181884766"
"105","-1.2472904920578003","-1.2472904920578003","-1.2472904920578003","-3.6473655700683594","-3.6473655700683594","-3.6473655700683594","-2.752498149871826","-2.752498149871826","-2.752498149871826"
"106","-8.079293489456177","-8.079293489456177","-8.079293489456177","-8.190745830535889","-8.190745830535889","-8.190745830535889","81.48334503173828","81.48334503173828","81.48334503173828"
"107","1.4448821544647217","1.4448821544647217","1.4448821544647217","-0.535980224609375","-0.535980224609375","-0.535980224609375","41.431068420410156","41.431068420410156","41.431068420410156"
"108","-6.6947712898254395","-6.6947712898254395","-6.6947712898254395","-7.162714958190918","-7.162714958190918","-7.162714958190918","82.16352844238281","82.16352844238281","82.16352844238281"
"109","-8.749999523162842","-8.749999523162842","-8.749999523162842","-11.221719741821289","-11.221719741821289","-11.221719741821289","11.596961975097656","11.596961975097656","11.596961975097656"
"110","-7.728565454483032","-7.728565454483032","-7.728565454483032","-8.508065700531006","-8.508065700531006","-8.508065700531006","-2.2830119132995605","-2.2830119132995605","-2.2830119132995605"
"111","0.4337949752807617","0.4337949752807617","0.4337949752807617","-2.591064453125","-2.591064453125","-2.591064453125","14.739453315734863","14.739453315734863","14.739453315734863"
